gene_name	accession	species	localizations	complexes	GO_terms	onset_condition	terminus_condition	onset	terminus
STXBP1	O08599	Mus musculus (Mouse)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
USP9X	P70398	Mus musculus (Mouse)	Cytoplasm			3		1	6
EHD4	Q9EQP2	Mus musculus (Mouse)	Cell Membrane		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization	3		1	6
TNPO1	Q8BFY9	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
CSE1L	Q9ERK4	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
MYH10	Q61879	Mus musculus (Mouse)	Unspecified		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
NSF	P46460	Mus musculus (Mouse)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
FLNB	Q80X90	Mus musculus (Mouse)	Cytoplasm			3		1	6
PFKM	P47857	Mus musculus (Mouse)	Cytoplasm		transport; establishment of localization; peptide transport; amide transport; organic substance transport; nitrogen compound transport	3		1	6
IQGAP1	Q9JKF1	Mus musculus (Mouse)	Cell Membrane; Cytoplasm; Nucleus		cellular localization	3		1	6
COPA	Q8CIE6	Mus musculus (Mouse)	Cytoplasm; Golgi		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
C6orf174	Q6NZL0	Mus musculus (Mouse)	Unspecified			3		1	6
CYFIP1	Q7TMB8	Mus musculus (Mouse)	Cytoplasm		transport; establishment of localization; establishment of localization in cell; cellular localization	3		1	6
MYH14	Q6URW6	Mus musculus (Mouse)	Unspecified			3		1	6
PPP2R1A	Q76MZ3	Mus musculus (Mouse)	Cell Membrane; Cytoplasm; Nucleus			3		1	6
IPO9	Q91YE6	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
RCN2	Q8BP92	Mus musculus (Mouse)	Endoplasmic Reticulum			3		1	6
DYNC1H1	Q9JHU4	Mus musculus (Mouse)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization; organelle localization	3		1	6
MAP1B	P14873	Mus musculus (Mouse)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization; organelle localization	3		1	6
DST	Q91ZU6	Mus musculus (Mouse)	Cell Membrane; Cytoplasm; Endoplasmic Reticulum; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization	3		1	6
NBEA	Q9EPN1	Mus musculus (Mouse)	Cell Membrane		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
PSMC5	P62196	Mus musculus (Mouse)	Cytoplasm; Nucleus			3		1	6
CYFIP2	Q5SQX6	Mus musculus (Mouse)	Cytoplasm; Nucleus			3		1	6
VPS35	Q9EQH3	Mus musculus (Mouse)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
MATR3	Q8K310	Mus musculus (Mouse)	Nucleus			3		1	6
NPEPPS	Q11011	Mus musculus (Mouse)	Cytoplasm; Nucleus			3		1	6
RPL7A	P12970	Mus musculus (Mouse)	Unspecified			3		1	6
GDI2	Q61598	Mus musculus (Mouse)	Cytoplasm		transport; establishment of localization; peptide transport; amide transport; organic substance transport; nitrogen compound transport	3		1	6
PSMC2	P46471	Mus musculus (Mouse)	Cytoplasm			3		1	6
KCNN3	P70605	Rattus norvegicus (Rat)	Unspecified		transport; establishment of localization	3		1	6
GABBR1	Q9Z0U4	Rattus norvegicus (Rat)	Cell Membrane		transport; establishment of localization; peptide transport; amide transport; organic substance transport; nitrogen compound transport	3		1	6
ATP2B3	Q64568	Rattus norvegicus (Rat)	Cell Membrane			3		1	6
ATP2B2	P11506	Rattus norvegicus (Rat)	Cell Membrane			3		1	6
STX6	Q63635	Rattus norvegicus (Rat)	Golgi		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
MTOR	P42346	Rattus norvegicus (Rat)	Cytoplasm; Endoplasmic Reticulum; Golgi; Lysosome; Mitochondrion; Nucleus		transport; establishment of localization	3		1	6
GPRASP1	Q920R4	Rattus norvegicus (Rat)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization	3		1	6
NF1	P97526	Rattus norvegicus (Rat)	Nucleus			3		1	6
GPAM	P97564	Rattus norvegicus (Rat)	Mitochondrion			3		1	6
ABCC1	Q8CG09	Rattus norvegicus (Rat)	Cell Membrane		transport; establishment of localization; peptide transport; amide transport; organic substance transport; nitrogen compound transport	3		1	6
KIDINS220	Q9EQG6	Rattus norvegicus (Rat)	Unspecified			3		1	6
SACM1L	Q9ES21	Rattus norvegicus (Rat)	Endoplasmic Reticulum			3		1	6
ATP7A	P70705	Rattus norvegicus (Rat)	Cell Membrane; Golgi		transport; establishment of localization	3		1	6
SYT1	P21707	Rattus norvegicus (Rat)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
CACNA2D1	P54290	Rattus norvegicus (Rat)	Unspecified		transport; establishment of localization; establishment of localization in cell; cellular localization	3		1	6
ATP5F1	P19511	Rattus norvegicus (Rat)	Mitochondrion		transport; establishment of localization	3		1	6
EXOC7	O54922	Rattus norvegicus (Rat)	Cell Membrane; Cytoplasm		transport; establishment of localization; peptide transport; amide transport; organic substance transport; nitrogen compound transport	3		1	6
ATP2B1	P11505	Rattus norvegicus (Rat)	Cell Membrane		transport; establishment of localization	3		1	6
ATP5B	P10719	Rattus norvegicus (Rat)	Mitochondrion		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization	3		1	6
ATP5H	P31399	Rattus norvegicus (Rat)	Mitochondrion		transport; establishment of localization	3		1	6
TRPV2	Q9WUD2	Rattus norvegicus (Rat)	Cell Membrane; Cytoplasm			3		1	6
ATP2B4	Q64542	Rattus norvegicus (Rat)	Cell Membrane		transport; establishment of localization	3		1	6
