Prey Accession,Gene Symbol,Species TaxIDs,Localization
Q9NVH1,DNAJC11,9606,Mitochondria
P50416,CPT1A,9606,Mitochondria
Q6NZI2,CAVIN1,9606,Mitochondria
P30049,ATP5D,9606,Mitochondria
Q8IXI2,RHOT1,9606,Mitochondria
Q9NVI7,ATAD3A,9606,Mitochondria
P19404,NDUFV2,9606,Mitochondria
Q9UJZ1,STOML2,9606,Mitochondria
O96008,TOMM40,9606,Mitochondria
Q16891,IMMT,9606,Mitochondria
Q5T160,RARS2,9606,Mitochondria
Q96TA2,YME1L1,9606,Mitochondria
P32189,GK,9606,Mitochondria
Q07812,BAX,9606,Mitochondria
Q07065,CKAP4,9606,Membrane; ER/Golgi
Q13501,SQSTM1,9606,Membrane; ER/Golgi
P20337,RAB3B,9606,Membrane; ER/Golgi
Q9NQC3,RTN4,9606,Membrane; ER/Golgi
Q6PJW8,CNST,9606,Membrane; ER/Golgi
Q9BRK5,SDF4,9606,Membrane; ER/Golgi
P16615,ATP2A2,9606,Membrane; ER/Golgi
P51148,RAB5C,9606,Membrane; ER/Golgi
O75396,SEC22B,9606,Membrane; ER/Golgi
P11021,HSPA5,9606,ER/Golgi
Q14257,RCN2,9606,ER/Golgi
Q96D15,RCN3,9606,ER/Golgi
P20591,MX1,9606,ER/Golgi
Q9UBS4,DNAJB11,9606,ER/Golgi
P14625,HSP90B1,9606,ER/Golgi
P55072,VCP,9606,ER/Golgi
O95816,BAG2,9606,ER/Golgi
P05388,RPLP0,9606,ER/Golgi
Q9UBP4,DKK3,9606,ER/Golgi
Q7Z406,MYH14,9606,ER/Golgi
P39656,DDOST,9606,ER/Golgi
O14744,PRMT5,9606,ER/Golgi
P27797,CALR,9606,ER/Golgi
P57088,TMEM33,9606,ER/Golgi
O15269,SPTLC1,9606,ER/Golgi
Q96CS3,FAF2,9606,ER/Golgi
Q9BZG1,RAB34,9606,ER/Golgi
Q02818,NUCB1,9606,ER/Golgi
Q969X5,ERGIC1,9606,ER/Golgi
P13674,P4HA1,9606,ER/Golgi
Q02809,PLOD1,9606,ER/Golgi
P46977,STT3A,9606,ER/Golgi
P32969,RPL9,9606,ER/Golgi
Q9UBS3,DNAJB9,9606,ER/Golgi
Q9HCN8,SDF2L1,9606,ER/Golgi
P40616,ARL1,9606,ER/Golgi
P24390,KDELR1,9606,ER/Golgi
O60568,PLOD3,9606,ER/Golgi
Q8NF37,LPCAT1,9606,ER/Golgi
Q9UBV2,SEL1L,9606,ER/Golgi
P02649,APOE,9606,ER/Golgi
Q9NXH8,TOR4A,9606,ER/Golgi
P80303,NUCB2,9606,ER/Golgi
Q63ZY3,KANK2,9606,Membrane; Mitochondria
P36873,PPP1CC,9606,Mitochondria
Q9BWM7,SFXN3,9606,Mitochondria
P38646,HSPA9,9606,Mitochondria
P09211,GSTP1,9606,Mitochondria
P47985,UQCRFS1,9606,Mitochondria
P22314,UBA1,9606,Mitochondria
P30044,PRDX5,9606,Mitochondria
Q9UHV9,PFDN2,9606,Mitochondria
Q96RT1,ERBB2IP,9606,Membrane
O00159,MYO1C,9606,Membrane
O60716,CTNND1,9606,Membrane
Q14160,SCRIB,9606,Membrane
P35221,CTNNA1,9606,Membrane
P35222,CTNNB1,9606,Membrane
Q8WWI1,LMO7,9606,Membrane
O75369,FLNB,9606,Membrane
P46940,IQGAP1,9606,Membrane
P18206,VCL,9606,Membrane
P02786,TFRC,9606,Membrane
O43795,MYO1B,9606,Membrane
P07384,CAPN1,9606,Membrane
P19022,CDH2,9606,Membrane
Q9NP72,RAB18,9606,Membrane
P17655,CAPN2,9606,Membrane
Q14247,CTTN,9606,Membrane
P30153,PPP2R1A,9606,Membrane
Q13557,CAMK2D,9606,Membrane
P61224,RAP1B,9606,Membrane
Q01518,CAP1,9606,Membrane
P60953,CDC42,9606,Membrane
Q9UDY4,DNAJB4,9606,Membrane
Q01628,IFITM3,9606,Membrane
P40199,CEACAM6,9606,Membrane
ORFL147C,ORFL147C,10360,Viral
P16788,UL97,10360,Viral
F5HIG1,UL102,10360,Viral
F5HEN8,UL105,10360,Viral
