Bait Uniprot Accession #,Prey Uniprot Accession #,Edge weight_3,Prey abundance_3,Edge weight_8,Prey abundance_8,Edge weight_12,Prey abundance_12,Edge weight_18,Prey abundance_18,Edge weight_24,Prey abundance_24
Q6UK10,O08629,1,13,1,11,1,6,1,10,1,5
Q6UK10,Q4FZT9,1,14,1,11,1,9,1,15,1,12
Q6UK10,P16638,1,50,1,40,1,31,1,57,1,39
Q6UK10,P62196,1,13,1,10,1,9,1,10,1,10
Q6UK10,P05369,1,16,1,12,1,12,1,14,1,13
Q6UK10,O88761,1,15,1,12,1,11,1,16,1,11
Q6UK10,P46462,1,32,1,24,1,19,1,22,1,20
Q6UK10,Q5SQX6,1,8,1,6,1,17,1,20,1,10
Q6UK10,Q9EQH3,1,21,1,15,1,10,1,17,1,13
Q6UK10,P04937,1,9,1,6,1,10,1,10,1,13
Q6UK10,Q9Z2Q1,1,55,1,38,1,35,1,36,1,41
Q6UK10,Q5U300,1,35,1,24,1,12,1,32,1,19
Q6UK10,Q1JU68,1,12,1,8,1,3,1,7,1,6
Q6UK10,Q8K310,1,11,1,7,1,10,1,6,1,3
Q6UK10,O35303,1,17,1,11,1,7,1,13,1,10
Q6UK10,P12001,1,11,1,7,1,6,1,6,1,5
Q6UK10,P29315,1,12,1,8,1,5,1,10,1,7
Q6UK10,P05426,1,13,1,8,1,10,1,6,1,5
Q6UK10,P50398,1,26,1,17,1,6,1,17,1,16
Q6UK10,Q11011,1,14,1,8,1,6,1,13,1,7
Q6UK10,P12970,1,14,1,8,1,8,1,6,1,8
Q6UK10,P40329,1,16,1,9,1,7,1,7,1,8
Q6UK10,Q62717,1,12,1,7,1,6,1,6,1,7
Q6UK10,P21575,1,14,1,8,1,8,1,14,1,6
Q6UK10,Q61598,1,16,1,8,1,5,1,13,1,7
Q6UK10,P97852,1,10,1,5,1,5,1,4,1,4
Q6UK10,P46471,1,11,1,6,1,6,1,10,1,5
Q6UK10,Q07009,1,12,1,5,1,3,1,9,1,5
Q6UK10,Q62667,1,32,1,11,1,6,1,6,1,8
